WHO	TYPE	SUBTYPE	REAL PROBLEM	PT	AUTHORS	TITLE	SOURCE	YEAR	ABSTRACT
JJ	GA		NO	S	Wodecki, Mieczyslaw; Bozejko, Wojciech; Jagiello, Szymon; Pempera, Jaroslaw	Parallel Cost Function Determination on GPU for the Vehicle Routing Problem	ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING, PT II (ICAISC 2015)	2015	The paper deals with parallel variants of optimization algorithms dedicated to solve transportation optimization issues. The problem derives from practice of logistics and vehicle routes planning. We propose parallelization method of the cost function determination dedicated to be executed on GPU architecture. The method can be used in metaheuristic algorithms as well as in exact approaches.(1)
JJ	GA		NO	S	Manoatl Lopez, Edgar; Miguel Antonio, Luis; Coello Coello, Carlos A.	A GPU-Based Algorithm for a Faster Hypervolume Contribution Computation	EVOLUTIONARY MULTI-CRITERION OPTIMIZATION, PT II	2015	The hypervolume has become very popular in current multiobjective optimization research. Because of its highly desirable features, it has been used not only as a quality measure for comparing final results of multi-objective evolutionary algorithms (MOEAs), but also as a selection operator (it is, for example, very suitable for many-objective optimization problems). However, it has one serious drawback: computing the exact hypervolume is highly costly. The best known algorithms to compute the hypervolume are polynomial in the number of points, but their cost grows exponentially with the number of objectives. This paper proposes a novel approach which, through the use of Graphics Processing Units (GPUs), computes in a faster way the hypervolume contribution of a point. We develop a highly parallel implementation of our approach and demonstrate its performance when using it within the S-Metric Selection Evolutionary Multi-Objective Algorithm (SMS-EMOA). Our results indicate that our proposed approach is able to achieve a significant speed up (of up to 883x) with respect to its sequential counterpart, which allows us to use SMS-EMOA with exact hypervolume calculations, in problems having up to 9 objective functions.
JJ	GA		YES	J	Han Qi; Cai Yong	An Efficient Parallel Implementation of Large - Scale Topology Optimization Problems Using GPU	Computer Simulation	2015	In this paper,a parallel topology optimization method is proposed to calculate large - scale structural design problems based on GPU. The parallel algorithms presented here are based on the Bi - directional Evolutionary Structural Optimization (BESO) formulation with soft - kill technology. Considering the characteristic of GPU computation,the conjugate gradient iterative solver with a nodal based visual finite element assembly scheme is introduced for the finite method problem. Compute Unified Device Architecture (CUDA) is employed to design and code program, including several high API offered by CUDA for free. Two parallel computing strategies include nodal -based and element - based mapping strategies. Finally, a total parallel optimization program is realized. Several numerical examples are considered, more than 100 times speedup can be obtained in handling large - scale design problems on a personal computing with a NVIDIA GTX 580 GPU. It shows the scalability and effectiveness of the present parallel approach.
ANTONIO	GA		YES	J	Karthik, Victor U.; Sivasuthan, Sivamayam; Rahunanthan, Arunasalam; Thyagarajan, Ravi S.; Jayakumar, Paramsothy; Udpa, Lalita; Hoole, S. Ratnajeevan H.	Faster, more accurate, parallelized inversion for shape optimization in electroheat problems on a graphics processing unit (GPU) with the real-coded genetic algorithm	COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING	2015	Purpose - Inverting electroheat problems involves synthesizing the electromagnetic arrangement of coils and geometries to realize a desired heat distribution. To this end two finite element problems need to be solved, first for the magnetic fields and the joule heat that the associated eddy currents generate and then, based on these heat sources, the second problem for heat distribution. This two-part problem needs to be iterated on to obtain the desired thermal distribution by optimization. Being a time consuming process, the purpose of this paper is to parallelize the process using the graphics processing unit (GPU) and the real-coded genetic algorithm, each for both speed and accuracy.Design/methodology/approach - This coupled problem represents a heavy computational load with long wait-times for results. The GPU has recently been demonstrated to enhance the efficiency and accuracy of the finite element computations and cut down solution times. It has also been used to speedup the naturally parallel genetic algorithm. The authors use the GPU to perform coupled electroheat finite element optimization by the genetic algorithm to achieve computational efficiencies far better than those reported for a single finite element problem. In the genetic algorithm, coding objective functions in real numbers rather than binary arithmetic gives added speed and accuracy.Findings - The feasibility of the method proposed to reduce computational time and increase accuracy is established through the simple problem of shaping a current carrying conductor so as to yield a constant temperature along a line. The authors obtained a speedup (CPU time to GPU time ratio) saturating to about 28 at a population size of 500 because of increasing communications between threads. But this far better than what is possible on a workstation.Research limitations/implications - By using the intrinsically parallel genetic algorithm on a GPU, large complex coupled problems may be solved very quickly. The method demonstrated here without accounting for radiation and convection, may be trivially extended to more completely modeled electroheat systems. Since the primary purpose here is to establish methodology and feasibility, the thermal problem is simplified by neglecting convection and radiation. While that introduces some error, the computational procedure is still validated.Practical implications - The methodology established has direct applications in electrical machine design, metallurgical mixing processes, and hyperthermia treatment in oncology. In these three practical application areas, the authors need to compute the exciting coil (or antenna) arrangement (current magnitude and phase) and device geometry that would accomplish a desired heat distribution to achieve mixing, reduce machine heat or burn cancerous tissue. This process presented does it more accurately and speedily.Social implications - Particularly the above-mentioned application in oncology will alleviate human suffering through use in hyperthermia treatment planning in cancer treatment. The method presented provides scope for new commercial software development and employment.Originality/value - Previous finite element shape optimization of coupled electroheat problems by this group used gradient methods whose difficulties are explained. Others have used analytical and circuit models in place of finite elements. This paper applies the massive parallelization possible with GPUs to the inherently parallel genetic algorithm, and extends it from single field system problems to coupled problems, and thereby realizes practicable solution times for such a computationally complex problem. Further, by using GPU computations rather than CPU, accuracy is enhanced. And then by using real number rather than binary coding for object functions, further accuracy and speed gains are realized.
ANTONIO	GA	NN	YES	J	Nambiar, Vishnu P.; Khalil-Hani, Mohamed; Marsono, M. N.; Sia, C. W.	Optimization of structure and system latency in evolvable block-based neural networks using genetic algorithm	NEUROCOMPUTING	2014	This paper proposes a novel optimization method that utilizes a multi-population parallel genetic algorithm (GA) to simultaneously optimize the structure and system latency of evolvable block-based neural networks (BbNNs). In the past, BbNNs have been successfully deployed for various kinds of classification problems with promising results. However, existing BbNN architectures do not explicitly model or optimize the latency of the system. Optimization of system latency is important, because it improves performance, reduces power consumption, and allows a more deterministic behavior that is needed for recurrent modes. The BbNN hardware model proposed in this paper is implemented as a synchronous architecture with registered outputs. This architecture will permit the system latency to be deterministic. To facilitate the automated layout of the neuron block interconnects within the BbNN structure, an array interconnect algorithm is presented. The proposed latency-optimized BbNN is implemented in hardware, and the architecture resembles mobile devices with integrated graphics processing units (GPUs). The hardware implementation is verified and analyzed using various case studies. The power consumption of our prototyping platform was measured, and it is shown that approximately 364 nJ of energy can be saved for every computational cycle (latency) reduced. All presented case studies show that the proposed BbNN model provides an optimal latency value while still matching the high accuracy reported in previous works. (C) 2014 Elsevier B.V. All rights reserved.
ANTONIO	GA	LS	NO	J	Garcia-Martinez, J. M.; Garzon, E. M.; Ortigosa, P. M.	A GPU implementation of a hybrid evolutionary algorithm: GPuEGO	JOURNAL OF SUPERCOMPUTING	2014	The high computation requirements of global optimization algorithms, when used to solve real optimization problems, have caused the appearance of different parallelization strategies using several parallel computing architectures. In this work, the Universal Evolutionary Global Optimizer is implemented in CUDA to be run on GPU architectures (GPuEGO). This parallelization of the referred evolutionary multimodal optimization algorithm is rather different from other previous parallel implementations designed to be executed into shared or distributed memory processors. In this case, due to the special characteristics of a GPU architecture, the original data structures are not valid and it has been necessary to redefine them and all the functions that operate with them. When this approach is applied the acceleration factors achieved by GPuEGO range from 6.33 to 23.20 depending on the test function.
ANTONIO	GA		YES	J	Choi, Yoon-Seok; Jung, Soonchul; Kim, Jae Woo; Koo, Bon-Ki	Real-time video photomosaics with optimized image set and GPU	JOURNAL OF REAL-TIME IMAGE PROCESSING	2014	We propose a real-time approach to automatically generate photomosaic videos from a set of optimized images by taking advantage of CUDA GPU acceleration. Our approach divides an input image into smaller cells-usually rectangular cells-and replaces each cell with a small image of an appropriate color pattern. Photomosaics require a large set of tile images with a variety of patterns to create high-quality digital mosaic images. Because a large database of images requires longer processing time and larger storage space for searching patterns from the database, this requirement causes problems in developing a real-time system or mobile applications that have limited resources. This paper deals with a real-time video photomosaics using genetic feature selection method for building an optimized image set and taking advantage of CUDA to accelerate pattern searching that minimizes computation cost.
ANTONIO	GA		NO	J	Zheng, Long; Lu, Yanchao; Guo, Minyi; Guo, Song; Xu, Cheng-Zhong	Architecture-based design and optimization of genetic algorithms on multi- and many-core systems	FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF GRID COMPUTING AND ESCIENCE	2014	A Genetic Algorithm (GA) is a heuristic to find exact or approximate solutions to optimization and search problems within an acceptable time. We discuss GAs from an architectural perspective, offering a general analysis of performance of GAs on multi-core CPUs and on many-core GPUs. Based on the widely used Parallel GA (PGA) schemes, we propose the best one for each architecture. More specifically, the Asynchronous Island scheme, Island/Master-Slave Hierarchy PGA and Island/Cellular Hierarchy PGA are the best for multi-core, multi-socket multi-core and many-core architectures, respectively. Optimization approaches and rules based on a deep understanding of multi- and many-core architectures are also analyzed and proposed. Finally, the comparison of GA performance on multi-core and many-core architectures are discussed. Three real GA problems are used as benchmarks to evaluate our analysis and findings.There are three extra contributions compared to previous work. Firstly, our findings based on deeply analyzing architectures can be applied to all GA problems, even for other parallel computing, not for a particular GA problem. Secondly, the performance of GAs in our work not only concerns execution speed, also the solution quality has not been considered seriously enough. Thirdly, we propose the theoretical performance and optimization models of PGA on multi-core and many-core architectures, finding a more practical result of the performance comparison of the GA on these architectures, so that the speedup presented in this work is more reasonable and is a better guide to practical decisions. (C) 2013 Elsevier B.V. All rights reserved.
ANTONIO	GA		NO	J	Kroemer, Pavel; Platos, Jan; Snasel, Vaclav	Data Parallel density-based genetic clustering on CUDA Architecture	CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE	2014	Evolutionary clustering algorithms have been proven as a good ability to find clusters in data. Among their advantages belong the abilities to adapt to data and to determine the number of clusters automatically, thus requiring less a priori assumptions about analyzed objects than traditional clustering methods. Unfortunately, such a clustering by genetic algorithms and evolutionary algorithms in general suffers from high computational costs when it comes to recurrent fitness function evaluation. Computing on graphic processing units (GPUs) is a recent programming and development paradigm bringing high performance parallel computing closer to general audience. Modern general purpose GPUs are composed of tens to thousands of computational cores that can execute programs in parallel using the single instruction multiple data parallel processing approach. General purpose GPU programs need to be designed and implemented in a data parallel way and with respect to the architecture of target devices to fully utilize their high performance. This study presents a design, implementation, and evaluation of a data parallel genetic algorithm for density-based clustering. The algorithm was implemented and evaluated on the nVidia Compute Unified Device Architecture (CUDA) platform. Copyright (c) 2013 John Wiley & Sons, Ltd.
ANTONIO	GA	MO, ACO	YES	S	de Souza, Murilo Zangari; Ramirez Pozo, Aurora Trinidad	A GPU Implementation of MOEA/D-ACO for the Multiobjective Traveling Salesman Problem	2014 BRAZILIAN CONFERENCE ON INTELLIGENT SYSTEMS (BRACIS)	2014	Several Ant Colony Optimization (ACO) algorithms have been proposed to solve multiobjective problems. MOEA/DACO is a multiobjective algorithm based on ACO and the decomposition approach and presents best results when compared with MOEA/D and BiCriterion on discrete optimization problems. This paper proposes a new parallel implementation of MOEA/DACO for execution on the Graphics Processing Unit (GPU) using NVIDIA CUDA in order to improve the efficiency, reaching high quality results in a reasonable execution time. Based on recent researches, both the solution construction and pheromone update phases are implemented using a data parallel approach. We use the multiobjective Traveling Salesman Problem (MTSP) as application. We report speedups of up to 11x from the sequential implementation. Moreover, the results point out that: the number of objectives and the number of subproblems affect directly the speedup.
ANTONIO	GA	MO, ACO	YES	S	Cano, Alberto; Ventura, Sebastian	GPU-Parallel SubTree Interpreter for Genetic Programming	GECCO'14: PROCEEDINGS OF THE 2014 GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE	2014	Genetic Programming (GP) is a computationally intensive technique but its nature is embarrassingly parallel. Graphic Processing Units (GPUs) are many-core architectures which have been widely employed to speed up the evaluation of GP. In recent years, many works have shown the high performance and efficiency of GPUs on evaluating both the individuals and the fitness cases in parallel. These approaches are known as population parallel and data parallel. This paper presents a parallel GP interpreter which extends these approaches and adds a new parallelization level based on the concurrent evaluation of the individual's subtrees. A GP individual defined by a tree structure with nodes and branches comprises different depth levels in which there are independent subtrees which can be evaluated concurrently. Threads can cooperate to evaluate different subtrees and share the results via GPU's shared memory. The experimental results show the better performance of the proposal in terms of the GP operations per second (GPops/s) that the GP interpreter is capable of processing, achieving up to 21 billion GPops/s using a NVIDIA 480 GPU. However, some issues raised due to limitations of currently available hardware are to be overcomed by the dynamic parallelization capabilities of the next generation of GPUs.
ANTONIO	GA	EMM	YES	S	Jaros, Jiri; Tyrala, Radek	GPU-accelerated Evolutionary Design of the Complete Exchange Communication on Wormhole Networks	GECCO'14: PROCEEDINGS OF THE 2014 GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE	2014	The communication overhead is one of the main challenges in the exascale era, where millions of compute cores are expected to collaborate on solving complex jobs. However, many algorithms will not scale since they require complex global communication and synchronisation. In order to perform the communication as fast as possible, contentions, blocking and deadlock must be avoided. Recently, we have developed an evolutionary tool producing fast and safe communication schedules reaching the lower bound of the theoretical time complexity. Unfortunately, the execution time associated with the evolution process raises up to tens of hours, even when being run on a multi-core processor. In this paper, we propose a revised implementation accelerated by a single Graphic Processing Unit (GPU) delivering speed-up of 5 compared to a quad-core CPU. Subsequently, we introduce an extended version employing up to 8 GPUs in a shared memory environment offering a speed-up of almost 30. This significantly extends the range of interconnection topologies we can cover.
ANTONIO	GA	SNN	YES	S	Carlson, Kristofor D.; Beyeler, Michael; Dutt, Nikil; Krichmar, Jeffrey L.	GPGPU Accelerated Simulation and Parameter Tuning for Neuromorphic Applications	2014 19TH ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE (ASP-DAC)	2014	Neuromorphic engineering takes inspiration from biology to design brain-like systems that are extremely low-power, fault-tolerant, and capable of adaptation to complex environments. The design of these artificial nervous systems involves both the development of neuromorphic hardware devices and the development neuromorphic simulation tools. In this paper, we describe a simulation environment that can be used to design, construct, and run spiking neural networks (SNNs) quickly and efficiently using graphics processing units (GPUs). We then explain how the design of the simulation environment utilizes the parallel processing power of GPUs to simulate large-scale SNNs and describe recent modeling experiments performed using the simulator. Finally, we present an automated parameter tuning framework that utilizes the simulation environment and evolutionary algorithms to tune SNNs. We believe the simulation environment and associated parameter tuning framework presented here can accelerate the development of neuromorphic software and hardware applications by making the design, construction, and tuning of SNNs an easier task.
ANTONIO	GA		YES	S	Zhang, Kai; Yang, Siman; Li, Li; Qiu, Ming	Parallel Genetic Algorithm with OpenCL for Traveling Salesman Problem	BIO-INSPIRED COMPUTING - THEORIES AND APPLICATIONS, BIC-TA 2014	2014	In the past few years, CUDA and OpenCL are developed in full use of the GPU, which is a significant topic in high performance computing. In this paper, we have proposed an implementation of the genetic algorithm for the traveling salesman problem on the parallel OpenCL architecture. Population initialization, fitness evaluation, selection, crossover and mutation operators are implemented on the GPU by using individual to thread mapping. Moreover we have evaluated our algorithm using a set of benchmark instances from the TSPLIB library. The comparison results shows that GPU computations provide better performance than traditional CPU implementation.
ANTONIO	GA		YES	S	Krueger, Frederic; Wagner, Daniel; Collet, Pierre	Massively Parallel Generational GA on GPGPU Applied to Power Load Profiles Determination	ARTIFICIAL EVOLUTION, EA 2013	2014	Evolutionary algorithms are capable of solving a wide range of different optimization problems including real world ones. The latter, however, often require a considerable amount of computational power. Parallelization over powerful GPGPU cards is a way to tackle this problem, but this remains hard to do due to their specificities. Parallelizing the fitness function only yields good results if it dwarfs the rest of the evolutionary algorithm. Otherwise, parallelization overhead and Amdahl's law may ruin this effort.In this paper, we will show how completely parallelizing an evolutionary algorithm can help solving a large real world electrical problem with a lightweight evaluation function without quality loss.
ANTONIO	GA		YES	S	Souza, Daniel Leal; Teixeira, Otavio Noura; Monteiro, Dionne Cavalcante; Limao de Oliveira, Roberto Celio; Florenzano Mollinetti, Marco Antonio	A Novel Competitive Quantum-Behaviour Evolutionary Multi-Swarm Optimizer Algorithm Based on CUDA Architecture Applied to Constrained Engineering Design	SWARM INTELLIGENCE, ANTS 2014	2014	This paper presents a new bio-inspired algorithm named Competitive Quantum-Behaviour Evolutionary Multi-Swarm Optimization (CQEMSO) based on CUDA parallel architecture applied to solve engineering problems, using the concept of master/slave swarm working under a competitive scheme and being executed over the paradigm of General Purpose Computing on Graphics Processing Units (GPGPU). The efforts on implementing the CQEMSO algorithm are focused at generating a solution which includes greater quality of search and higher speed of convergence by using mechanisms of evolutionary strategies with the procedures of search and optimization found in the classic QPSO. For performance analysis, the proposed solution was submitted to some well-known engineering problems (WBD, DPV) and its results compared to other solutions found on scientific literature.
ANTONIO	GA	NN	YES	S	Ohkura, Kazuhiro; Yasuda, Toshiyuki; Matsumura, Yoshiyuki; Kadota, Masaki	GPU Implementation of Food-Foraging Problem for Evolutionary Swarm Robotics Systems	SWARM INTELLIGENCE, ANTS 2014	2014	Evolutionary swarm robotics (ESR) is an artificial approach for developing smart collective behavior in a system of homogenous autonomous robots. Robot behavior is generally controlled by evolving artificial neural networks. ESR has been considered a promising approach for swarm robotics systems (SRSs), because swarm behavior naturally emerges from numerous local interactions among the autonomous robots. In contrast, programming individual robots to display appropriate swarm behavior is extremely difficult. However, even in a simulated SRS, ESR is precluded by a very high computational cost. In this study, we introduce a novel implementation that overcomes the computational cost problem. The method employs parallel problem solving on a graphics processing unit (GPU) and OpenMP on a multicore CPU. To demonstrate the efficiency of the proposed method, we engage an evolving SRS in a food-foraging problem.
ANTONIO	GA		YES	J	Zhao Guoliang; Li Yunfei; Wang Chuan	Research on task scheduling in heterogeneous multi-core system	Computer Engineering and Design	2014	To solve the heterogeneous multi-core systems task scheduling problem effectively, a novel hybrid static scheduling algorithm named HSCGS (hybrid successor concerned genetic scheduling) algorithm was proposed. The algorithm was combined with the heuristic and the genetic scheduling algorithm. In the first phase, a heuristic algorithm named SCLS (successor concerned list heuristic scheduling) was proposed to generate a high quality scheduling result. The second phase implemented an improved genetic algorithm (IGA) for scheduling to optimize the scheduling results of the first phase. A dynamic task scheduling algorithm DSCLS (dynamic successor concerned list scheduling) for the heterogeneous multi-core systems was proposed by combining the SCLS algorithm with the schedule engine of the StarPU. The performance of the DSCLS was illustrated by contrast experiments on a heterogeneous computing system consisting of the CPU and the GPU. The experimental results show that for most of the benchmarks, the DSCLS algorithm has significant advantages in both the application execution time and the system throughput.
ANTONIO	GA		YES	S	Nguyen Quang-Hung; Le Thanh Tan; Chiem Thach Phat; Nam Thoai	A GPU-Based Enhanced Genetic Algorithm for Power-Aware Task Scheduling Problem in HPC Cloud	INFORMATION AND COMMUNICATION TECHNOLOGY	2014	In this paper, we consider power-aware task scheduling (PATS) in HPC clouds. Users request virtual machines (VMs) to execute their tasks. Each task is executed on one single VM, and requires a fixed number of cores (i.e., processors), computing power (million instructions per second - MIPS) of each core, a fixed start time and non-preemption in a duration. Each physical machine has maximum capacity resources on processors (cores); each core has limited computing power. The energy consumption of each placement is measured for cost calculating purposes. The power consumption of a physical machine is in a linear relationship with its CPU utilization. We want to minimize the total energy consumption of the placements of tasks. We propose here a genetic algorithm (GA) to solve the PATS problem. The GA is developed with two versions: (1) BKGPUGA, which is an adaptively implemented using NVIDIA's Compute Unified Device Architecture (CUDA) framework; and (2) SGA, which is a serial GA version on CPU. The experimental results show the BKGPUGA program that executed on a single NVIDIA (R) TESLA (TM) M2090 GPU (512 cores) card obtains significant speedups in comparing to the SGA program executing on Intel (R) Xeon (TM) E5-2630 (2.3 GHz) on same input problem size. Both versions share the same GA's parameters (e. g. number of generations, crossover and mutation probability, etc.) and a relative small (10(-11)) on difference of two finesses between BKGPUGA and SGA. Moreover, the proposed BKGPUGA program can handle large-scale task scheduling problems with scalable speedup under limitations of GPU device (e. g. GPU's device memory, number of GPU cores, etc.).
ANTONIO	GA	ACO	YES	J	Wu Shigang; Zhong Cheng	Parallel solving shortest common superstring using genetic algorithm and ant colony optimization	Journal of Computer Applications	2014	According to the capacity of multi-level caches, the population individuality and ant data in CPU main memory were assigned to L3 cache, L2 cache and L1 cache to reduce data transfer overhead among multiple caches during parallel computing. The asynchronous and incomplete transmission was performed between CPU and GPU, and multiple flows were asynchronously executed by multiple GPU kernel functions. The thread number of GPU block was set to the size of 16 times and GPU public memory was divided into bank with the size of 32 times. GPU constant memory was used to store read-only parameters such as cross probability and mutate probability which were read frequently. The read-only big data structure such as string set and overlap matrix were bound to GPU texture memory, and a computation, cache and communication-efficient parallel algorithm for CPU and GPU to coordinate solving shortest common superstring problem was designed and implemented. The experimental results for solving shortest common superstring problem with several sizes show the proposed CPU and GPU parallel algorithm is faster over 70 times than the sequential algorithm.
ANTONIO	GA		NO	S	Padurariu, Florina Roxana; Marinescu, Cristina	NSGA-II: Implementation and Performance Metrics Extraction for CPU and GPU	16TH INTERNATIONAL SYMPOSIUM ON SYMBOLIC AND NUMERIC ALGORITHMS FOR SCIENTIFIC COMPUTING (SYNASC 2014)	2014	Multi-objective Optimization Evolutionary Algorithms are widely employed for solving different real-world optimization problems. Usually their runs involve a considerable amount of time because of the need to evaluate many functions. This particularity makes them good candidates of parallelization. In this work we investigate the benefits of the GPU implementation of the Non-dominated Sorting Genetic Algorithm II (NSGA-II) versus its CPU implementation in terms of the execution time.
ANTONIO	GA	CN	NO	S	Guo, Dongwei; Xing, Hailong; Fu, Fangcai; Liu, Miao	Improvement of Evolution on Evolutionary Set Theory based on Public Goods Game using CUDA	2014 SIXTH INTERNATIONAL CONFERENCE ON INTELLIGENT HUMAN-MACHINE SYSTEMS AND CYBERNETICS (IHMSC), VOL 1	2014	This paper introduces an evolutionary model for complex networks on public goods game, which is a dynamical simulation for the real society. The degree distribution of this network is similar to the real society which is closed to Poisson distribution in the first part of process and in accordance with power law distribution in the second. The clustering coefficient of network is enhanced by the cooperator frequency. It is investigated that the cooperator frequency is remarkably promoted by the multiplication factor and initial number of join sets. Moreover, for the simulation of this evolutionary model, the execution on GPUs can achieve speedup over the execution on CPUs.
MARIBEL	GA		NO	J	Hofmann, Johannes; Limmer, Steffen; Fey, Dietmar	Performance investigations of genetic algorithms on graphics cards	SWARM AND EVOLUTIONARY COMPUTATION	2013	Genetic algorithms are one of the most adaptable optimization algorithms. Due to their inherent parallelism they seem well suited for the execution on massively parallel hardware such as graphics processing units. In this paper we put this claim to the test by performing comprehensive experiments. We try to find out how well graphics processing units are suited for the task and what parts of genetic algorithms should be executed on them. We focus especially on the new Fermi generation of Nvidia graphics chips. While it is imperative the fitness function be effectively parallelizable on the GPU, because it is the most computational expensive task of the algorithm, results indicate that if this is the case, speedups of several orders of magnitude are possible compared to conventional multi-core CPUs. Our findings also suggest that, starting with the Fermi architecture, all parts of a genetic algorithm should be carried out on the graphics card instead of only part of it. (C) 2013 Elsevier B.V. All rights reserved.
MARIBEL	GA		YES	J	Yoo, Shin; Harman, Mark; Ur, Shmuel	GPGPU test suite minimisation: search based software engineering performance improvement using graphics cards	EMPIRICAL SOFTWARE ENGINEERING	2013	It has often been claimed that SBSE uses so-called 'embarrassingly parallel' algorithms that will imbue SBSE applications with easy routes to dramatic performance improvements. However, despite recent advances in multicore computation, this claim remains largely theoretical; there are few reports of performance improvements using multicore SBSE. This paper shows how inexpensive General Purpose computing on Graphical Processing Units (GPGPU) can be used to massively parallelise suitably adapted SBSE algorithms, thereby making progress towards cheap, easy and useful SBSE parallelism. The paper presents results for three different algorithms: NSGA2, SPEA2, and the Two Archive Evolutionary Algorithm, all three of which are adapted for multi-objective regression test selection and minimization. The results show that all three algorithms achieved performance improvements up to 25 times, using widely available standard GPUs. We also found that the speed-up was observed to be statistically strongly correlated to the size of the problem instance; as the problem gets harder the performance improvements also get better.
MARIBEL	GA		YES	B	Szenasi, Sandor	GENETIC ALGORITHM FOR PARAMETER OPTIMIZATION OF IMAGE SEGMENTATION ALGORITHM	14TH IEEE INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND INFORMATICS (CINTI)	2013	In the current practice of medicine, histopathological examinations are some of the most important tools for clinical diagnoses of a large group of diseases. To help pathologists and to reduce the subjectivity level, it has been proposed that computer-aided procedures be used to provide objective results. The first step of these procedures is the segmentation of the tissue image. In our research, we try to detect nuclei, glands and surface epithelium in Haematoxylin and Eosin ( HE) stained colon tissue samples. This paper focuses on the identification of epithelial cell nuclei.
MARIBEL	GA		NO	B	Cekmez, Ugur; Ozsiginan, Mustafa; Sahingoz, Ozgur Koray	Adapting the GA Approach to Solve Traveling Salesman Problems on CUDA Architecture	14TH IEEE INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND INFORMATICS (CINTI)	2013	The vehicle routing problem (VRP) is one of the most challenging combinatorial optimization problems, which has been studied for several decades. The number of solutions for VRP increases exponentially while the number of points, which must be visited increases. There are 3.0x10<^>64 different solutions for 50 visiting points in a direct solution, and it is practically impossible to try out all these permutations. Some approaches like evolutionary algorithms allow finding feasible solutions in an acceptable time. However, if the number of visiting points increases, these algorithms require high performance computing, and they remain insufficient for finding a feasible solution quickly. Graphics Processing Units (GPUs) have tremendous computational power by allowing parallel processing over lots of computing grids, and they can lead to significant performance gains compared with typical CPU implementations. In this paper, it is aimed to present efficient implementation of Genetic Algorithm, which is an evolutionary algorithm that is inspired by processes observed in the biological evolution of living organisms to find approximate solutions for optimization problems such as Traveling Salesman Problem, on GPU. A 1-Thread in 1-Position (1T1P) approach is developed to improve the performance through maximizing efficiency, which then yielded a significant acceleration by using GPUs. Performance of implemented system is measured with the different parameters and the corresponding CPU implementation.
MARIBEL	GA		NO	J	Jin, Zheming; Bakos, Jason D.	Extending the BEAGLE library to a multi-FPGA platform	BMC BIOINFORMATICS	2013	Background: Maximum Likelihood (ML)-based phylogenetic inference using Felsenstein's pruning algorithm is a standard method for estimating the evolutionary relationships amongst a set of species based on DNA sequence data, and is used in popular applications such as RAxML, PHYLIP, GARLI, BEAST, and MrBayes. The Phylogenetic Likelihood Function (PLF) and its associated scaling and normalization steps comprise the computational kernel for these tools. These computations are data intensive but contain fine grain parallelism that can be exploited by coprocessor architectures such as FPGAs and GPUs. A general purpose API called BEAGLE has recently been developed that includes optimized implementations of Felsenstein's pruning algorithm for various data parallel architectures. In this paper, we extend the BEAGLE API to a multiple Field Programmable Gate Array (FPGA)-based platform called the Convey HC-1.Results: The core calculation of our implementation, which includes both the phylogenetic likelihood function (PLF) and the tree likelihood calculation, has an arithmetic intensity of 130 floating-point operations per 64 bytes of I/O, or 2.03 ops/byte. Its performance can thus be calculated as a function of the host platform's peak memory bandwidth and the implementation's memory efficiency, as 2.03 x peak bandwidth x memory efficiency. Our FPGA-based platform has a peak bandwidth of 76.8 GB/s and our implementation achieves a memory efficiency of approximately 50%, which gives an average throughput of 78 Gflops. This represents a similar to 40X speedup when compared with BEAGLE's CPU implementation on a dual Xeon 5520 and 3X speedup versus BEAGLE's GPU implementation on a Tesla T10 GPU for very large data sizes. The power consumption is 92 W, yielding a power efficiency of 1.7 Gflops per Watt.Conclusions: The use of data parallel architectures to achieve high performance for likelihood-based phylogenetic inference requires high memory bandwidth and a design methodology that emphasizes high memory efficiency. To achieve this objective, we integrated 32 pipelined processing elements (PEs) across four FPGAs. For the design of each PE, we developed a specialized synthesis tool to generate a floating-point pipeline with resource and throughput constraints to match the target platform. We have found that using low-latency floating-point operators can significantly reduce FPGA area and still meet timing requirement on the target platform. We found that this design methodology can achieve performance that exceeds that of a GPU-based coprocessor.
MARIBEL	GA		YES	B	Duda, Jerzy; Dlubacz, Wojciech	GPU acceleration for the web browser based evolutionary computing system	2013 17TH INTERNATIONAL CONFERENCE ON SYSTEM THEORY, CONTROL AND COMPUTING (ICSTCC)	2013	This paper presents a novel approach for the acceleration of distributed computing system entirely based on web browsers. We propose two strategies of embedding GPU kernels into the JavaScript code that is run by clients' machines (computing agents) participated in the computing grid, and analyze the speed increase resulting from the application of these methods. The computational experiments are performed on the basis of the two standard optimization problems: a travelling salesman problem and a flowshop scheduling problem. According to the obtained results the calculation of a fitness function accelerated by GPU may bring up to 50% reduction in execution time, while a local search process accelerated by GPU may be reduced tenfold.
